"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 6:36:46 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","2","2","Propagación a través del aire","1957","Masculino"
"2020/04/28 6:36:55 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Desescalada","TV;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 6:38:18 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Camí Real","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:38:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","4","4","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:38:52 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 6:38:56 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Universitario","3","Infectados","Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación por gotas al toser y estornudar","1947","Masculino"
"2020/04/28 6:39:20 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","TV;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","1","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 6:39:38 p. m. EET","I. Canarias","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Test a la población. ","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","3","3","3","Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 6:39:46 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","2","4","Propagación por gotas al toser y estornudar","1986","Masculino"
"2020/04/28 6:40:37 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","Patraix","","","","","","","","Safranar","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","Fuentes oficiales del Gobierno;Amigos;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire","2000","Masculino"
"2020/04/28 6:41:55 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 6:43:03 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","3","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2004","Femenino"
"2020/04/28 6:44:24 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46019","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","4","Propagación por gotas al toser y estornudar","1999","Masculino"
"2020/04/28 6:44:30 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 6:45:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","2","Fallecidos","Twitter;Instagram;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1992","Masculino"
"2020/04/28 6:46:56 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1990","Femenino"
"2020/04/28 6:47:15 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","1981","Femenino"
"2020/04/28 6:49:20 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Periódicos digitales","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","1985","Femenino"
"2020/04/28 6:50:04 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","3","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2004","Femenino"
"2020/04/28 6:50:05 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación por gotas al toser y estornudar","1978","Femenino"
"2020/04/28 6:50:53 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Ingresados en la UCI","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","2002","Masculino"
"2020/04/28 6:52:45 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV;Radio;Periódicos digitales;Blogs de periodismo","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","","Propagación por gotas al toser y estornudar","1946","Masculino"
"2020/04/28 6:53:53 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","5","Infectados","Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Masculino"
"2020/04/28 6:54:28 p. m. EET","I. Canarias","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 6:54:54 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Twitter","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","2","2","Propagación por gotas al toser y estornudar","1990","Masculino"
"2020/04/28 6:56:25 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","4","2","2","Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 6:56:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Título administración","1","Test de la población","TV","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar;Contacto","1976","Femenino"
"2020/04/28 6:58:52 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 6:59:09 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 6:59:49 p. m. EET","I. Canarias","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1956","Femenino"
"2020/04/28 7:00:25 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Periódicos digitales;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 7:00:27 p. m. EET","Murcia","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Radio;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","4","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","1996","Masculino"
"2020/04/28 7:01:14 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","2","Propagación a través del aire","1980","Femenino"
"2020/04/28 7:02:31 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Universitario","1","Infectados","Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 7:02:49 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46009","La Saïdia","","","","","Marxalenes","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Amigos;Twitter;Instagram","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","2","4","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 7:04:08 p. m. EET","","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar;Contacto ","1973","Femenino"
"2020/04/28 7:04:16 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46009","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 7:04:20 p. m. EET","","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar;Contacto ","1973","Femenino"
"2020/04/28 7:04:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV;Fuentes oficiales del Gobierno","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:04:51 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 7:05:07 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","Periódicos digitales;Blogs de periodismo;Instagram","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","4","2","2","Propagación a través del aire","2001","Femenino"
"2020/04/28 7:05:26 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV;Periódicos digitales;Amigos","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","2","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2004","Femenino"
"2020/04/28 7:06:02 p. m. EET","Castilla y León","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Ingresados en la UCI","TV;Periódicos digitales;Amigos","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1969","Masculino"
"2020/04/28 7:06:02 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","3","Infectados","TV;Amigos","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:06:17 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","","3","Propagación por gotas al toser y estornudar","1998","Masculino"
"2020/04/28 7:07:23 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1999","Masculino"
"2020/04/28 7:07:41 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","1","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:08:06 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 7:08:27 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV;Radio;Amigos;Twitter;Otras redes sociales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 7:08:38 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Fallecidos","TV;Radio;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","3","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","1980","Masculino"
"2020/04/28 7:09:02 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Periódicos digitales","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","4","No lo sé","4","Propagación por gotas al toser y estornudar","1965","Masculino"
"2020/04/28 7:10:28 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Ingresados en la UCI","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:12:41 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV;Radio","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:13:02 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","","2","2","4","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 7:13:22 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV;Periódicos digitales;Amigos;Instagram","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:14:32 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","E.G.B.","3","Fallecidos","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","3","No lo sé","Propagación por gotas al toser y estornudar","1975","Femenino"
"2020/04/28 7:18:24 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1977","Femenino"
"2020/04/28 7:19:13 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Fuentes oficiales del Gobierno;Amigos","Personas adultas","En España hay aproximadamente 80.000 casos activos","1","1","1","Propagación por gotas al toser y estornudar","1982","Femenino"
"2020/04/28 7:19:53 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales;Amigos","Personas jóvenes","En España hay aproximadamente 80.000 casos activos","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1999","Femenino"
"2020/04/28 7:21:29 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Universitario","1","Recuperados","TV;Twitter;Instagram","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","2","2","2","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:21:44 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Formacion profesional","4","Infectados","TV;Google","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","5","2","5","Propagación por gotas al toser y estornudar;Contacto superficies infectadas","1964","Femenino"
"2020/04/28 7:22:07 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Test","TV;Radio","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","1","1","1","Propagación por gotas al toser y estornudar","1975","Femenino"
"2020/04/28 7:23:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","TV;Fuentes oficiales del Gobierno;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 7:24:48 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","4","3","Propagación a través del aire;Propagación por gotas al toser y estornudar;En objetos ","1973","Femenino"
"2020/04/28 7:24:49 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Hospitalizados (NO en UCI)","TV;Amigos","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","2","Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/04/28 7:27:13 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","1991","Masculino"
"2020/04/28 7:28:05 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Camí Real","","","","","","","","","","","Universitario","2","Recuperados","TV;Periódicos digitales;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:28:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","","La Roqueta","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire","1965","Femenino"
"2020/04/28 7:29:35 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","5","5","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 7:30:02 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","La Petxina","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:30:10 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Ingresados en la UCI","Fuentes oficiales del Gobierno;Periódicos digitales;Blogs de periodismo","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","4","2","Propagación por gotas al toser y estornudar","1998","Femenino"
"2020/04/28 7:30:22 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46020","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Universitario","1","Infectados","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1988","Masculino"
"2020/04/28 7:31:12 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","1","Recuperados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 7:32:02 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","5","La verdad","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/28 7:32:30 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 7:33:13 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Amigos;Instagram","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","3","4","Propagación por gotas al toser y estornudar;Propagación a través de insectos","2002","Masculino"
